Country.of.Origin;Variety;Processing.Method;Moisture;Category.One.Defects;Color;Category.Two.Defects;altitude_mean_meters;Cupper.Points
Mexico;Typica;Washed / Wet;0.14;1;Green;4;1400;7.75
Kenya;SL28;Washed / Wet;0.1;0;Green;3;1754;7.5
Guatemala;Bourbon;Washed / Wet;0.11;1;Green;2;1700;7.58
Brazil;Yellow Bourbon;Pulped natural / honey;0.11;0;Bluish-Green;2;905;7.58
El Salvador;Pacas;Washed / Wet;0;0;Green;4;1250;7.33
Rwanda;Bourbon;Washed / Wet;0.11;0;Bluish-Green;0;1900;8
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;2;1219.2;7.5
Brazil;Catuai;Natural / Dry;0.12;2;Green;6;900;7.67
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;4;1500;7.5
Colombia;Typica;Natural / Dry;0;4;Green;4;1800;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1775;7.58
Tanzania, United Republic Of;Arusha;Washed / Wet;0.11;0;Green;5;1400;7.75
Mexico;Caturra;Washed / Wet;0.12;2;Green;10;1550;7.5
Mexico;Bourbon;Washed / Wet;0.12;0;Bluish-Green;7;1250;7.58
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;10;1310.64;7.42
Guatemala;Caturra;Washed / Wet;0.1;0;Green;3;1100;7.5
Guatemala;Caturra;Washed / Wet;0.11;0;Green;8;1800;7.5
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;4;1700;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1219.2;7.58
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1219.2;7.67
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;0;157.8864;7.67
Taiwan;Yellow Bourbon;Natural / Dry;0;0;Green;0;650;7.67
Costa Rica;Caturra;Washed / Wet;0.09;0;Bluish-Green;1;1850;7.67
Honduras;Caturra;Natural / Dry;0.09;0;Green;6;1400;7.67
Brazil;Yellow Bourbon;Pulped natural / honey;0.11;0;Bluish-Green;1;905;7.5
China;Catimor;Natural / Dry;0.1;0;Green;0;1100;7.58
China;Catimor;Washed / Wet;0.11;0;Green;2;1500;7.5
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;2;1775;7.5
Malawi;Gesha;Washed / Wet;0.12;0;Bluish-Green;0;1442;7.67
Guatemala;Pacas;Washed / Wet;0.13;0;Green;2;1524;7.42
Colombia;Typica;Washed / Wet;0.12;0;Green;0;165;7.67
Colombia;Caturra;Washed / Wet;0.1;0;Green;2;1300;7.5
Mexico;Typica;Washed / Wet;0.12;0;Green;6;1550;7.58
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;0;1625;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1775;7.42
Panama;Catuai;Washed / Wet;0;0;Green;4;1100;7.58
Brazil;Bourbon;Natural / Dry;0;0;Green;4;890;7.5
Brazil;Bourbon;Natural / Dry;0.11;0;Bluish-Green;3;934;7.5
Laos;Catimor;Washed / Wet;0.13;0;Bluish-Green;0;1300;7.58
El Salvador;Pacas;Washed / Wet;0;0;Green;7;1200;7.5
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.12;0;Green;4;1550;7.58
Taiwan;Typica;Washed / Wet;0.08;0;Green;0;1200;7.08
Mexico;Typica;Natural / Dry;0.11;0;Green;0;1296;7.58
Uganda;SL14;Washed / Wet;0.12;0;Green;0;1650;7.5
Taiwan;Typica;Washed / Wet;0.11;0;Green;0;1240;7.5
Thailand;Caturra;Washed / Wet;0.11;0;Bluish-Green;0;1500;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Bluish-Green;3;1800;7.42
Guatemala;Caturra;Washed / Wet;0.11;0;Green;0;1500;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;2;1219.2;7.5
Taiwan;Typica;Pulped natural / honey;0.11;0;Green;0;1050;7.5
Indonesia;Typica;Semi-washed / Semi-pulped;0.13;0;Bluish-Green;6;1250;7.5
Thailand;Caturra;Washed / Wet;0.12;0;Bluish-Green;1;1450;7.5
Uganda;SL14;Natural / Dry;0.12;0;Green;0;1650;7.42
Costa Rica;Catuai;Washed / Wet;0.11;0;Green;3;1300;7.58
Colombia;Caturra;Washed / Wet;0.11;0;Bluish-Green;3;1750;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Green;0;1750;7.42
Mexico;Typica;Washed / Wet;0.1;0;Green;6;1250;7.58
Colombia;Caturra;Washed / Wet;0.11;2;Green;2;1775;7.67
Brazil;Bourbon;Natural / Dry;0.11;0;Green;4;890;7.42
Honduras;Caturra;Washed / Wet;0.1;0;Green;4;1400;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;2;1219.2;7.5
Brazil;Yellow Bourbon;Semi-washed / Semi-pulped;0.11;0;Bluish-Green;0;1260;7.5
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;4;1310.64;7.33
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1750;7.5
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;0;1310.64;7.33
Mexico;Typica;Washed / Wet;0.12;0;Green;5;1100;7.5
Brazil;Bourbon;Semi-washed / Semi-pulped;0;0;Bluish-Green;4;1250;7.42
Colombia;Caturra;Washed / Wet;0.11;1;Green;3;1775;7.58
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;2;1700;7.42
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;0;1700;7.5
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;0;157.8864;7.42
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1600;8.08
China;Catimor;Washed / Wet;0.1;0;Green;0;1600;7.58
Tanzania, United Republic Of;Ruiru 11;Washed / Wet;0.13;0;Green;7;2285;7.58
Guatemala;Caturra;Washed / Wet;0.1;0;Green;0;1400;7.33
Mexico;Typica;Washed / Wet;0.11;0;Green;0;1296;7.58
Brazil;Catuai;Semi-washed / Semi-pulped;0.12;0;Bluish-Green;1;1000;7.42
Brazil;Yellow Bourbon;Natural / Dry;0;0;Green;0;1260;8.17
Mexico;Bourbon;Washed / Wet;0.12;0;Green;0;1170;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Green;9;1775;7.42
Mexico;Typica;Washed / Wet;0.12;0;Green;5;1560;7.42
Mexico;Typica;Semi-washed / Semi-pulped;0.13;0;Green;2;1400;7.42
Mexico;Typica;Washed / Wet;0.14;0;Green;9;1300;7.5
Mexico;Caturra;Washed / Wet;0.13;0;Green;1;1170;7.58
Mexico;Typica;Washed / Wet;0.11;0;Green;0;1300;7.5
Mexico;Pacamara;Washed / Wet;0.14;0;Green;6;1350;7.58
Mexico;Caturra;Washed / Wet;0.11;0;Green;0;1150;7.58
Mexico;Typica;Washed / Wet;0.12;0;Bluish-Green;0;1450;7.5
Colombia;Caturra;Washed / Wet;0;0;Green;2;1750;7.75
Honduras;Caturra;Washed / Wet;0.1;0;Green;8;1396;7.58
Brazil;Catuai;Natural / Dry;0.11;0;Green;11;982;7.67
Brazil;Bourbon;Natural / Dry;0.11;0;Bluish-Green;3;934;7.5
Costa Rica;Caturra;Washed / Wet;0.1;6;Bluish-Green;3;1850;7.5
Costa Rica;Catuai;Washed / Wet;0;0;Green;0;1550;7.33
China;Catimor;Pulped natural / honey;0.12;0;Green;2;1580;7.5
Brazil;Bourbon;Natural / Dry;0.07;0;Green;0;1268;7.75
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;6;1676.4;7.42
Malawi;Gesha;Washed / Wet;0.12;0;Green;0;1450;7.58
Brazil;Bourbon;Natural / Dry;0.11;0;Bluish-Green;0;1100;8
Guatemala;Pacas;Washed / Wet;0.12;0;Green;3;1524;7.42
Colombia;Caturra;Washed / Wet;0.1;0;Green;2;1300;7.5
Taiwan;Typica;Semi-washed / Semi-pulped;0.11;0;Green;0;200;7.33
Taiwan;Typica;Washed / Wet;0.11;0;Green;0;600;7.33
Guatemala;Bourbon;Washed / Wet;0.12;2;Green;1;1310.64;7.25
Colombia;Caturra;Washed / Wet;0;0;Green;1;1750;7.33
Mexico;Typica;Washed / Wet;0.12;0;Green;3;1300;7.42
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;3;1752.6;7.33
Mexico;Bourbon;Washed / Wet;0.13;0;Green;9;1170;7
Guatemala;Bourbon;Washed / Wet;0.1;2;Green;5;1310.64;7.5
Brazil;Mundo Novo;Natural / Dry;0.12;0;Green;2;1100;7.42
Mexico;Typica;Washed / Wet;0.11;0;Green;0;1300;7.83
Brazil;Mundo Novo;Washed / Wet;0.11;0;Green;2;950;7.42
Colombia;Caturra;Natural / Dry;0;0;Green;0;442;7.33
Brazil;Catuai;Washed / Wet;0.09;2;Green;10;1100;7.5
Guatemala;Pacas;Washed / Wet;0.11;0;Green;2;1450;7.33
El Salvador;Bourbon;Washed / Wet;0.12;0;Green;0;1500;7.58
Honduras;Catuai;Washed / Wet;0.11;0;Green;2;1350;7.33
Malawi;Gesha;Washed / Wet;0.13;0;Bluish-Green;0;1180;7.42
Brazil;Bourbon;Natural / Dry;0.11;0;Green;0;1100;7.42
Taiwan;Typica;Washed / Wet;0.11;0;Green;0;650;7.25
Mexico;Mundo Novo;Washed / Wet;0.12;0;Bluish-Green;4;1338;7.42
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;2;1390.8024;7.33
Mexico;Bourbon;Washed / Wet;0.13;0;Green;3;1170;7.33
Mexico;Typica;Washed / Wet;0.12;0;Green;13;1250;7.33
Mexico;Typica;Washed / Wet;0.11;0;Green;0;1100;7.42
Mexico;Typica;Washed / Wet;0.1;0;Green;3;900;7.42
Colombia;Caturra;Washed / Wet;0.12;0;Green;1;1750;7.42
Colombia;Caturra;Washed / Wet;0.11;0;Green;0;1775;7.58
Brazil;Bourbon;Natural / Dry;0.11;0;Green;5;934;7.5
Honduras;Caturra;Washed / Wet;0.11;0;Bluish-Green;2;1500;7.58
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.13;1;Green;6;1650;7.5
Honduras;Catuai;Washed / Wet;0.11;0;Green;2;1350;7.33
Guatemala;Bourbon;Washed / Wet;0.09;0;Bluish-Green;4;1500;7.42
Taiwan;Typica;Washed / Wet;0;0;Green;0;800;7.58
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;1;1750;7.5
Mexico;Typica;Washed / Wet;0.12;0;Green;4;1000;7.5
Mexico;Typica;Washed / Wet;0.1;0;Green;1;1200;7.58
Brazil;Bourbon;Natural / Dry;0.11;0;Green;3;894;7.5
Costa Rica;Caturra;Washed / Wet;0;0;Bluish-Green;0;1300;7.67
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.12;0;Green;5;1500;7.42
Costa Rica;Caturra;Washed / Wet;0.11;0;Green;2;13;7.33
Mexico;Typica;Washed / Wet;0.13;0;Green;7;1300;7.42
Mexico;Typica;Washed / Wet;0.13;3;Green;13;1800;7.5
Mexico;Typica;Washed / Wet;0.11;0;Green;11;1250;7.33
Mexico;Typica;Washed / Wet;0.11;0;Green;1;1250;7.33
Honduras;Caturra;Washed / Wet;0.12;0;Green;1;1600;7.42
Honduras;Caturra;Natural / Dry;0.1;0;Green;7;1600;7.5
Brazil;Bourbon;Natural / Dry;0.11;0;Green;3;944;7.5
Malawi;Gesha;Washed / Wet;0.13;0;Bluish-Green;1;2500;7.33
Taiwan;Typica;Washed / Wet;0.09;0;Green;0;600;7.75
Costa Rica;Catuai;Washed / Wet;0.1;0;Green;4;1300;7.33
Honduras;Caturra;Washed / Wet;0.11;0;Green;5;1400;7.17
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1900;7.17
Taiwan;Typica;Washed / Wet;0.12;0;Bluish-Green;0;650;7.42
Brazil;Mundo Novo;Natural / Dry;0.11;0;Bluish-Green;0;1038.5;7.67
Mexico;Typica;Washed / Wet;0.12;0;Green;1;940;7.42
Brazil;Mundo Novo;Natural / Dry;0.12;0;Green;1;1000;7.42
Brazil;Catuai;Semi-washed / Semi-pulped;0.11;0;Bluish-Green;1;1050;7.42
Brazil;Mundo Novo;Semi-washed / Semi-pulped;0.12;0;Green;2;950;7.33
Guatemala;Bourbon;Washed / Wet;0;0;Green;10;1402.08;7.42
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1901;7.58
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;0;1219.2;7.42
Honduras;Caturra;Washed / Wet;0.12;0;Green;1;1400;7.33
Brazil;Catuai;Natural / Dry;0.11;0;Green;4;1020;7.5
El Salvador;Bourbon;Washed / Wet;0.11;0;Green;2;1250;7.33
Guatemala;Catuai;Washed / Wet;0.11;0;Green;7;1550;7.25
Mexico;Bourbon;Washed / Wet;0.12;0;Green;6;1300;7.25
Mexico;Bourbon;Washed / Wet;0.12;0;Green;0;1000;7.33
Brazil;Mundo Novo;Natural / Dry;0.12;0;Green;3;1100;7.33
Guatemala;Bourbon;Washed / Wet;0.1;1;Green;1;157.8864;7.42
Costa Rica;Catuai;Pulped natural / honey;0;1;Green;4;1900;7.33
Brazil;Mundo Novo;Natural / Dry;0.11;0;Green;3;973;7.33
Guatemala;Bourbon;Washed / Wet;0.1;2;Green;6;3280;7.17
Myanmar;Catuai;Washed / Wet;0;0;Green;2;4001;7.33
Mexico;Catuai;Washed / Wet;0.11;0;Green;7;1425;7.42
Honduras;Catuai;Washed / Wet;0.12;0;Green;1;1400;7.33
Costa Rica;Caturra;Washed / Wet;0.09;0;Green;0;1300;7.42
Taiwan;Typica;Washed / Wet;0;0;Green;0;700;7.33
Malawi;Gesha;Washed / Wet;0.13;0;Green;0;1556;7.42
Brazil;Bourbon;Natural / Dry;0.11;0;Green;0;1100;7.33
Honduras;Caturra;Natural / Dry;0.1;0;Green;4;1350;7.5
Mexico;Typica;Washed / Wet;0.11;0;Green;0;1550;7.5
Colombia;Caturra;Washed / Wet;0;2;Bluish-Green;0;1775;7.33
Brazil;Bourbon;Semi-washed / Semi-pulped;0.12;0;Bluish-Green;0;1250;7.83
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;1;1310.64;7.5
Mexico;Bourbon;Washed / Wet;0.12;0;Green;2;1500;7.25
Mexico;Typica;Semi-washed / Semi-pulped;0.12;0;Green;10;1250;7.42
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;1;1700;7.33
Vietnam;Caturra;Washed / Wet;0.12;0;Bluish-Green;0;1040;8
Mexico;Mundo Novo;Washed / Wet;0.13;0;Green;23;1250;7.25
Mexico;Typica;Washed / Wet;0.11;0;Green;1;1100;7.25
Mexico;Caturra;Washed / Wet;0.12;10;Green;14;1550;7.33
Colombia;Caturra;Washed / Wet;0;0;Green;1;1750;7.17
Brazil;Bourbon;Natural / Dry;0.11;0;Green;5;890;7.25
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1700;7.58
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;3;1219.2;7.33
Honduras;Catuai;Washed / Wet;0.11;0;Bluish-Green;2;1450;7.25
Brazil;Bourbon;Washed / Wet;0.1;0;Green;2;1260;7.33
Honduras;Caturra;Natural / Dry;0.1;0;Green;5;1400;7.5
Costa Rica;Caturra;Washed / Wet;0.11;0;Green;3;1850;8.08
Taiwan;Typica;Semi-washed / Semi-pulped;0.11;0;Green;0;150;7.25
Taiwan;Typica;Washed / Wet;0.11;0;Green;0;750;7.25
Mexico;Typica;Washed / Wet;0.12;0;Green;6;1400;7.42
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;4;1752.6;7.17
Mexico;Typica;Washed / Wet;0.13;1;Green;13;1650;7.58
Mexico;Bourbon;Washed / Wet;0.11;0;Green;4;1400;7.08
Mexico;Bourbon;Washed / Wet;0.11;0;Green;2;1200;7.17
Mexico;Bourbon;Washed / Wet;0.11;0;Green;2;1400;7.42
Mexico;Caturra;Semi-washed / Semi-pulped;0.11;0;Green;4;940;7.67
Honduras;Catimor;Washed / Wet;0.11;0;Bluish-Green;3;1200;7.33
Taiwan;Typica;Washed / Wet;0.1;0;Bluish-Green;0;800;7.25
Costa Rica;Caturra;Washed / Wet;0.12;0;Green;1;13;7.25
Malawi;Gesha;Washed / Wet;0.13;0;Green;0;1100;7.33
Brazil;Yellow Bourbon;Washed / Wet;0.12;0;Bluish-Green;3;1260;7.33
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;1;1310.64;7.17
Mexico;Typica;Washed / Wet;0.12;0;Green;9;1400;7.33
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;0;1219.2;7.58
Honduras;Caturra;Washed / Wet;0.1;0;Green;5;1400;7.33
Taiwan;Typica;Natural / Dry;0.12;0;Green;2;180;7.33
Myanmar;Catuai;Washed / Wet;0;0;Green;4;1219.2;7.42
Costa Rica;Caturra;Washed / Wet;0.12;1;Green;2;1200;7.33
Malawi;Gesha;Washed / Wet;0.12;0;Green;0;1599;7.33
Brazil;Yellow Bourbon;Semi-washed / Semi-pulped;0;1;Green;1;1200;7.75
Haiti;Blue Mountain;Washed / Wet;0.11;0;Bluish-Green;0;825;7.33
Mexico;Typica;Washed / Wet;0.13;0;Green;2;1150;7.25
Mexico;Typica;Washed / Wet;0.12;0;Green;5;1600;7.17
Mexico;Catuai;Washed / Wet;0.12;0;Green;10;1100;7.08
Mexico;Typica;Semi-washed / Semi-pulped;0.11;0;Green;6;1000;7.25
Mexico;Bourbon;Washed / Wet;0.13;0;Green;5;1250;7.5
Mexico;Typica;Natural / Dry;0.11;0;Green;3;1100;7.42
Brazil;Bourbon;Semi-washed / Semi-pulped;0.12;0;Bluish-Green;2;125;7.17
Mexico;Mundo Novo;Washed / Wet;0.12;1;Green;17;1100;7.25
Guatemala;Catuai;Washed / Wet;0.1;0;Green;0;1371.6;7.42
Brazil;Catuai;Natural / Dry;0.11;0;Green;2;1100;7.5
Honduras;Catuai;Washed / Wet;0.12;0;Green;1;1400;7.25
Taiwan;Typica;Washed / Wet;0.12;0;Green;0;110;7.08
Malawi;Gesha;Washed / Wet;0.12;0;Bluish-Green;0;1422;7.42
Brazil;Bourbon;Natural / Dry;0;0;Green;0;1100;7.42
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;6;1550;7.08
Mexico;Typica;Washed / Wet;0;1;Green;1;1550;7.33
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;4;1310.64;7.08
Colombia;Caturra;Natural / Dry;0.11;0;Green;0;1750;7.17
Honduras;Caturra;Washed / Wet;0.11;0;Bluish-Green;3;1500;7.33
Brazil;Catuai;Natural / Dry;0.11;0;Green;14;1100;7.33
Honduras;Catuai;Washed / Wet;0.09;0;Green;4;1350;7.42
Malawi;Gesha;Washed / Wet;0.13;0;Green;1;1200;7.25
Honduras;Catuai;Washed / Wet;0.12;0;Green;3;1450;7.33
Mexico;Typica;Washed / Wet;0.13;4;Green;13;1800;7.25
Nicaragua;Catuai;Washed / Wet;0.1;0;Green;4;1100;7.5
Honduras;Catuai;Washed / Wet;0.12;0;Green;1;1400;7.42
Guatemala;Pacamara;Washed / Wet;0.09;0;Bluish-Green;2;1700;7.33
Taiwan;Typica;Semi-washed / Semi-pulped;0.11;0;Green;0;650;7.25
Guatemala;Caturra;Washed / Wet;0.11;0;Green;4;1524;7.08
Mexico;Typica;Washed / Wet;0.12;0;Green;1;1500;7.5
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.12;0;Green;2;1050;7.17
Mexico;Caturra;Washed / Wet;0.12;0;Green;10;1200;7.17
Costa Rica;Caturra;Washed / Wet;0.11;0;Bluish-Green;0;1300;7.42
Honduras;Catuai;Natural / Dry;0.13;0;Green;1;1450;7.33
Thailand;Caturra;Washed / Wet;0.12;0;Bluish-Green;0;1450;7.42
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.12;0;Bluish-Green;2;1550;7.33
Malawi;Caturra;Washed / Wet;0.12;0;Green;12;995;7.25
Costa Rica;Catuai;Washed / Wet;0.11;0;Green;3;1300;7.25
Mexico;Typica;Natural / Dry;0.13;3;Green;7;1800;7.08
Guatemala;Caturra;Washed / Wet;0.12;0;Green;4;1450;7.25
Brazil;Mundo Novo;Natural / Dry;0.12;0;Green;1;1000;7.08
Brazil;Mundo Novo;Natural / Dry;0.11;5;Green;8;695;7.33
Costa Rica;Caturra;Washed / Wet;0.13;0;Green;0;1500;7.17
Mexico;Typica;Washed / Wet;0.12;0;Green;2;1300;7.08
Mexico;Typica;Washed / Wet;0.11;0;Green;5;1642;7.25
Mexico;Typica;Washed / Wet;0.1;0;Green;1;1200;7.25
El Salvador;Bourbon;Washed / Wet;0;0;Green;6;1450;7.25
Guatemala;Bourbon;Washed / Wet;0.09;0;Green;8;3280;7.25
Colombia;Caturra;Washed / Wet;0;0;Green;4;1600;7.75
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;1;1219.2;7.25
Taiwan;Typica;Washed / Wet;0.12;0;Bluish-Green;0;758;7.33
Honduras;Caturra;Natural / Dry;0.12;0;Green;1;1350;7.33
Uganda;SL14;Natural / Dry;0.12;0;Green;3;1700;7.42
Taiwan;Typica;Semi-washed / Semi-pulped;0.11;0;Green;0;1100;7.25
Mexico;Typica;Washed / Wet;0;0;Green;8;1100;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;2;1901;7.5
Mexico;Bourbon;Washed / Wet;0.11;0;Green;11;1100;7.33
Brazil;Yellow Bourbon;Natural / Dry;0.12;0;Green;8;1200;7.25
Taiwan;Typica;Washed / Wet;0.09;0;Green;0;550;6.75
Nicaragua;Caturra;Washed / Wet;0.1;1;Green;3;1050;7.33
Guatemala;Pacas;Washed / Wet;0.12;2;Green;5;1524;7.08
Taiwan;Typica;Washed / Wet;0.11;0;Green;0;300;7.25
Mexico;Typica;Washed / Wet;0.13;0;Green;12;1186;7
Laos;Catimor;Washed / Wet;0;0;Green;0;1300;7.33
Guatemala;Caturra;Washed / Wet;0.11;0;Green;1;1200;7.08
Mexico;Catuai;Semi-washed / Semi-pulped;0.13;0;Green;7;1210;7.33
Mexico;Typica;Washed / Wet;0.11;0;Green;3;1100;7.17
Mexico;Bourbon;Washed / Wet;0.13;0;Green;1;100;7.25
Myanmar;Catuai;Washed / Wet;0;0;Green;2;3825;7.17
Guatemala;Caturra;Washed / Wet;0.12;0;Green;1;1706.88;7.17
Honduras;Caturra;Natural / Dry;0.11;0;Green;2;1450;7.08
Honduras;Catuai;Washed / Wet;0.09;0;Green;2;1350;7.17
Honduras;Catuai;Natural / Dry;0.13;0;Green;1;1450;7
Costa Rica;Caturra;Washed / Wet;0.11;0;Green;0;1300;7.25
Mexico;Typica;Washed / Wet;0.11;0;Green;2;1200;7.5
Haiti;Typica;Washed / Wet;0.12;0;Green;0;1000;7.25
Indonesia;Mandheling;Semi-washed / Semi-pulped;0.13;0;Bluish-Green;1;1350;7.33
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;0;1500;7
Costa Rica;Caturra;Washed / Wet;0.11;0;Bluish-Green;4;185;8
Malawi;Caturra;Washed / Wet;0.12;0;Bluish-Green;1;995;7.17
Mexico;Typica;Washed / Wet;0.12;0;Green;4;1200;7.25
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;5;1550;7.33
Brazil;Bourbon;Semi-washed / Semi-pulped;0;0;Green;3;1200;7.25
Honduras;Caturra;Washed / Wet;0.11;0;Green;5;1400;7.17
Guatemala;Bourbon;Natural / Dry;0.11;0;Green;5;1383.792;7.25
Guatemala;Caturra;Washed / Wet;0.1;0;Green;4;1500;7.25
Honduras;Catuai;Washed / Wet;0.11;0;Green;5;1650;7
Brazil;Yellow Bourbon;Semi-washed / Semi-pulped;0.11;0;Green;3;1250;7.33
Guatemala;Bourbon;Washed / Wet;0.12;1;Green;1;1859.28;6.67
Taiwan;Typica;Washed / Wet;0.14;0;Green;0;600;7
El Salvador;Bourbon;Washed / Wet;0;0;Green;1;1450;7.25
